Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,146415,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,146430,146.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,146445,146.445000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,146460,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,146475,146.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,146490,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,146505,146.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,CALL2M,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,146535,146.535000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,146550,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,146565,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,146580,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,146595,146.595000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,147420,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,147450,147.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,147480,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,147510,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,147540,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,147570,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,CALL70,446.000000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
21,446012,446.012500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
22,446025,446.025000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
23,446037,446.037500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
24,446050,446.050000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
25,446062,446.062500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
26,446075,446.075000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
27,446087,446.087500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
28,446100,446.100000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
29,446112,446.112500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
30,446125,446.125000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
31,446137,446.137500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
32,446150,446.150000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
33,446162,446.162500,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
34,446175,446.175000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
